DATE,Mkt-RF,SMB,HML,RF,MOM
197411,-4.51,-1.18,-0.1,0.54,2.17
197412,-3.45,-4.84,0.07,0.7,2.94
197501,13.66,11.01,8.22,0.58,-13.86
197502,5.56,0.17,-4.5,0.43,-0.58
197503,2.66,3.77,2.41,0.41,-1.99
197504,4.23,-0.52,-1.11,0.44,1.33
197505,5.19,3.84,-4.08,0.44,-0.47
197506,4.83,0.77,1.28,0.41,0.05
197507,-6.59,2.68,1.69,0.48,0.43
197508,-2.85,-3.2,-0.9,0.48,-0.13
197509,-4.26,-0.13,0.35,0.53,0.32
197510,5.31,-4.02,0.3,0.56,-0.14
197511,2.65,-1.19,1.99,0.41,-0.45
197512,-1.6,-0.76,1.76,0.48,-0.12
197601,12.16,4.81,8.57,0.47,4.46
197602,0.32,7.04,5.77,0.34,0.36
197603,2.33,-1.16,-0.02,0.4,0.19
197604,-1.49,-0.04,-0.06,0.42,0.5
197605,-1.34,-1.25,-1.33,0.37,-1.11
197606,4.05,-1.35,0.68,0.43,-0.43
197607,-1.07,0.3,1.74,0.47,-0.11
197608,-0.56,-2,0.77,0.42,-0.85
197609,2.06,-0.01,-0.29,0.44,0.24
197610,-2.42,0.25,-0.13,0.41,-0.48
197611,0.36,2.35,1.52,0.4,2.88
197612,5.65,3,2.22,0.4,0.78
197701,-4.05,4.78,4.27,0.36,3.97
197702,-1.95,1.1,0.49,0.35,0.38
197703,-1.37,1,1.03,0.38,0.48
197704,0.15,-0.11,3.45,0.38,4.24
197705,-1.46,1.2,0.83,0.37,2.03
197706,4.71,2.13,-0.65,0.4,1.78
197707,-1.69,2.13,-0.61,0.42,0.31
197708,-1.75,1.52,-2.8,0.44,-1.78
197709,-0.27,1.45,-0.49,0.43,2.05
197710,-4.38,1.27,1.71,0.49,-0.12
197711,4,3.69,0.36,0.5,2.21
197712,0.27,1.33,-0.35,0.49,1.56
197801,-6.01,2.22,3.28,0.49,-0.72
197802,-1.38,3.56,0.8,0.46,1.9
197803,2.85,3.45,1.27,0.53,1.37
197804,7.88,0.38,-3.48,0.54,0.85
197805,1.76,4.56,-0.63,0.51,2.85
197806,-1.69,1.69,0.58,0.54,2.78
197807,5.11,0.28,-1.09,0.56,4.24
197808,3.75,5.1,-0.48,0.56,2.86
197809,-1.43,-0.41,1.87,0.62,-3.13
197810,-11.91,-9.9,1.36,0.68,-8.39
197811,2.71,3.01,-2.21,0.7,5.52
197812,0.88,1.25,-2.19,0.78,3.05
197901,4.23,3.68,2.24,0.77,-1.27
197902,-3.56,0.45,1.18,0.73,-1.05
197903,5.68,3.19,-0.65,0.81,2.88
197904,-0.06,2.16,1.07,0.8,0.79
197905,-2.21,0.55,1.92,0.82,-0.22
197906,3.85,1.18,1.48,0.81,0.84
197907,0.82,1.26,1.68,0.77,-1.09
197908,5.53,2.07,-1.49,0.77,-0.25
197909,-0.82,-0.24,-0.89,0.83,5.32
197910,-8.1,-3.32,-1.89,0.87,2.15
197911,5.21,2.74,-3.27,0.99,7.95
197912,1.79,4.19,-2.03,0.95,4.77
198001,5.51,1.65,1.85,0.8,7.5
198002,-1.22,-1.81,0.62,0.89,7.86
198003,-12.9,-6.64,-1.06,1.21,-9.58
198004,3.97,0.96,1.05,1.26,-0.42
198005,5.26,2.13,0.44,0.81,-1.12
198006,3.06,1.67,-0.88,0.61,1.59
198007,6.49,4.24,-6.3,0.53,0.37
198008,1.8,3.91,-2.64,0.64,3.2
198009,2.19,0.88,-4.79,0.75,5.43
198010,1.06,2.47,-2.73,0.95,7.33
198011,9.59,-3.45,-8.34,0.96,15.24
198012,-4.52,-0.27,2.68,1.31,-6.65
198101,-5.04,3,6.84,1.04,-7.94
198102,0.56,-0.3,0.96,1.07,-1.39
198103,3.56,3.58,0.67,1.21,0.74
198104,-2.1,4.42,2.26,1.08,-0.96
198105,0.11,2,-0.42,1.15,3.75
198106,-2.36,-0.85,5.12,1.35,-5.91
198107,-1.54,-2.18,-0.63,1.24,-2.52
198108,-7.03,-1.95,4.83,1.28,-1.12
198109,-7.17,-2.66,5.18,1.24,1.98
198110,4.92,2.14,-4.21,1.21,4.08
198111,3.36,-0.97,1.89,1.07,-0.26
198112,-3.65,1.18,0.75,0.87,1.31
198201,-3.24,-1.29,3.14,0.8,1.73
198202,-5.86,0.48,6.07,0.92,5
198203,-1.87,-0.2,3.78,0.98,2.93
198204,3.27,1.51,-2.81,1.13,-0.41
198205,-3.99,0.47,1.82,1.06,2.55
198206,-3.09,-0.4,1.51,0.96,4.99
198207,-3.19,0.84,0.15,1.05,4.47
198208,11.14,-4.11,1.16,0.76,-3.52
198209,1.29,2.88,0.34,0.51,4.17
198210,11.3,2.36,-3.68,0.59,0.03
198211,4.67,4.77,-1.96,0.63,5.89
198212,0.55,-0.18,0.01,0.67,0.02
198301,3.6,2.69,-0.86,0.69,-1.7
198302,2.59,3.23,0.67,0.62,3.83
198303,2.82,1.78,2.07,0.63,0.93
198304,6.67,0.54,0.6,0.71,1.81
198305,0.52,6.15,-1.39,0.69,-1.59
198306,3.07,0.9,-3.86,0.67,1.78
198307,-4.07,1.47,5.58,0.74,-3.13
198308,-0.5,-4.29,5.52,0.76,-5.63
198309,0.92,0.56,1.06,0.76,-0.11
198310,-3.44,-3.6,5.02,0.76,-4.56
198311,2.16,2.03,-0.64,0.7,-0.08
198312,-1.78,-0.29,1.68,0.73,0.77
198401,-1.92,-0.43,7.6,0.76,-2.49
198402,-4.82,-1.7,3.3,0.71,0.19
198403,0.63,0.06,0.48,0.73,1.1
198404,-0.52,-1.19,1.24,0.81,2.05
198405,-5.97,0.05,0.24,0.78,1.53
198406,1.82,-0.31,-2.61,0.75,-0.7
198407,-2.74,-2.21,0.43,0.82,2.93
198408,10.28,-0.25,-1.81,0.83,-5.68
198409,-0.8,0.22,5.28,0.86,3.69
198410,-0.84,-1.21,0.49,1,3.21
198411,-1.76,-0.61,4.05,0.73,1.7
198412,1.84,-0.6,-0.16,0.64,1.53
198501,7.99,3.27,-5.4,0.65,-6.91
198502,1.22,0.77,-0.14,0.58,1.82
198503,-0.84,-1.14,4.05,0.62,1.68
198504,-0.96,0.15,3.71,0.72,3.06
198505,5.09,-2.25,-0.85,0.66,4
198506,1.27,0.56,0.55,0.55,3.63
198507,-0.74,2.85,-1.66,0.62,-3.94
198508,-1.02,-0.34,2.25,0.55,1.82
198509,-4.54,-1.58,1.32,0.6,1.48
198510,4.02,-1.57,0.78,0.65,4.87
198511,6.48,0.22,-2.92,0.61,-0.41
198512,3.88,-0.5,-1.58,0.65,-0.13
198601,0.65,1.22,0.56,0.56,2.96
198602,7.13,-0.65,-0.93,0.53,2.77
198603,4.88,-0.51,-0.47,0.6,2.46
198604,-1.31,2.84,-2.91,0.52,-0.5
198605,4.62,-1.31,-0.11,0.49,2.02
198606,1.03,-0.9,1.39,0.52,5.15
198607,-6.45,-3.38,4.77,0.52,1.8
198608,6.07,-4.18,3.51,0.46,-5.01
198609,-8.6,2.28,3.19,0.45,-5.86
198610,4.66,-2.49,-1.34,0.46,2.69
198611,1.17,-1.92,-0.05,0.39,-0.32
198612,-3.27,0.08,0.33,0.49,0.4
198701,12.47,-1.8,-3.17,0.42,2.09
198702,4.39,3.49,-5.98,0.43,-2.17
198703,1.64,0.37,1.64,0.47,1.59
198704,-2.11,-1.7,-0.32,0.44,0.25
198705,0.11,-0.52,0.12,0.38,-0.69
198706,3.94,-2.19,1.06,0.48,-0.2
198707,3.85,-0.63,0.71,0.46,2.67
198708,3.52,-0.75,-0.93,0.47,-0.87
198709,-2.59,0.53,0.28,0.45,0.71
198710,-23.24,-8.42,4.23,0.6,-7.86
198711,-7.77,2.76,3.08,0.35,-1.15
198712,6.81,0.13,-4.45,0.39,5.84
198801,4.21,-0.7,5.17,0.29,-7.58
198802,4.75,3.35,-1.65,0.46,-1.54
198803,-2.27,6.15,0.75,0.44,0.63
198804,0.56,0.96,1.68,0.46,2.25
198805,-0.29,-2.65,2.28,0.51,0.64
198806,4.79,2.12,-1.11,0.49,-2.91
198807,-1.25,-0.21,2.27,0.51,0.63
198808,-3.31,0.08,2.08,0.59,0.33
198809,3.3,-1.26,-0.69,0.62,0.24
198810,1.15,-2.9,1.68,0.61,1.31
198811,-2.29,-1.73,1.27,0.57,0.42
198812,1.49,1.94,-1.55,0.63,0.42
198901,6.1,-2.13,0.53,0.55,-0.14
198902,-2.25,2.76,0.88,0.61,0.93
198903,1.57,0.73,0.48,0.67,3.54
198904,4.33,-0.59,-1.47,0.67,1.7
198905,3.35,-0.03,-0.83,0.79,1.57
198906,-1.35,-1.01,2.16,0.71,0.66
198907,7.2,-4.02,-2.83,0.7,5.44
198908,1.44,0.5,0.73,0.74,-0.14
198909,-0.76,0.28,-1.33,0.65,3.41
198910,-3.67,-3.3,-1.02,0.68,1.37
198911,1.03,-1.24,-1.11,0.69,2.58
198912,1.16,-2.41,0.3,0.61,2.81
199001,-7.85,-1.28,0.86,0.57,-3.28
199002,1.11,1.03,0.61,0.57,-0.52
199003,1.83,1.52,-2.89,0.64,1.65
199004,-3.36,-0.5,-2.55,0.69,2.4
199005,8.42,-2.56,-3.73,0.68,3.05
199006,-1.09,1.43,-1.95,0.63,2.42
199007,-1.9,-3.2,-0.02,0.68,5.93
199008,-10.15,-3.58,1.63,0.66,1.79
199009,-6.12,-3.67,0.74,0.6,5.53
199010,-1.92,-5.53,0.29,0.68,6.74
199011,6.35,0.32,-3.11,0.57,-5.6
199012,2.46,0.81,-1.56,0.6,0.16
199101,4.69,3.8,-1.84,0.52,-6.51
199102,7.19,3.94,-0.54,0.48,-4.72
199103,2.65,3.9,-1.24,0.44,2.81
199104,-0.28,0.51,1.4,0.53,-2.4
199105,3.65,-0.34,-0.56,0.47,-0.1
199106,-4.94,0.07,1.21,0.42,0.46
199107,4.24,-0.95,-1.27,0.49,4.32
199108,2.32,1.59,-0.79,0.46,1.62
199109,-1.59,1.63,-0.98,0.46,1.73
199110,1.29,0.9,-0.44,0.42,3.22
199111,-4.19,-0.47,-1.91,0.39,1.26
199112,10.84,-2.24,-4.04,0.38,8.28
199201,-0.59,8.45,4.5,0.34,-2.47
199202,1.09,0.88,6.36,0.28,-0.59
199203,-2.66,-1.03,3.66,0.34,-0.36
199204,1.07,-6.12,4.28,0.32,-2.6
199205,0.3,0.4,1.27,0.28,0.11
199206,-2.34,-3.09,3.41,0.32,-0.6
199207,3.77,-0.44,-0.53,0.31,1.43
199208,-2.38,-0.11,-1.04,0.26,-0.53
199209,1.19,0.56,-0.21,0.26,1.43
199210,1.02,2.04,-2.1,0.23,2.71
199211,4.13,3.69,-1.48,0.23,-0.33
199212,1.53,1.65,2.51,0.28,4.45
199301,0.93,2.05,5.89,0.23,4.83
199302,0.12,-3.44,6.42,0.22,3.1
199303,2.3,0.24,1.24,0.25,3.74
199304,-3.05,-0.7,2.61,0.24,0.33
199305,2.89,1.96,-3.41,0.22,0.29
199306,0.31,-0.3,2.61,0.25,4.58
199307,-0.34,0.93,3.25,0.24,3.24
199308,3.71,0.32,-0.45,0.25,2.58
199309,-0.12,3.12,-0.44,0.26,3.41
199310,1.41,1.45,-1.55,0.22,-2.67
199311,-1.89,-1.43,-0.27,0.25,-4.71
199312,1.65,1.22,0.57,0.23,2.29
199401,2.87,0.13,2.08,0.25,0.01
199402,-2.55,2.73,-1.44,0.21,-0.29
199403,-4.78,-0.97,1.32,0.27,-1.32
199404,0.68,-0.92,1.68,0.27,0.41
199405,0.58,-2.02,0.19,0.31,-2.15
199406,-3.03,-0.47,1.68,0.31,-0.83
199407,2.82,-1.72,0.6,0.28,0.19
199408,4.01,1.33,-2.82,0.37,1.54
199409,-2.31,2.82,-1.91,0.37,1.32
199410,1.34,-2.36,-1.74,0.38,1.42
199411,-4.04,0.27,-0.95,0.37,-0.2
199412,0.86,0.03,0.53,0.44,3.5
199501,1.8,-2.65,0.81,0.42,-1.82
199502,3.63,-0.69,1.04,0.4,-0.35
199503,2.19,-0.7,-1.06,0.46,0.36
199504,2.11,-0.63,2.25,0.44,1.83
199505,2.9,-2.2,1.68,0.54,-0.44
199506,2.72,2.93,-2.27,0.47,2.89
199507,3.72,2.09,-1.69,0.45,2.54
199508,0.55,1.6,2.72,0.47,0.09
199509,3.35,-2.11,-0.76,0.43,2.71
199510,-1.52,-3.74,-0.75,0.47,4.12
199511,3.96,-1.17,0.95,0.42,-0.64
199512,1.03,0.57,0.86,0.49,2.53
199601,2.26,-2.61,0.32,0.43,0.57
199602,1.33,1.87,-1.44,0.39,0.58
199603,0.73,1.3,0.99,0.39,-1.88
199604,2.06,4.92,-3.9,0.46,-0.91
199605,2.36,3.04,-1.21,0.42,1.56
199606,-1.14,-3.58,1.55,0.4,1
199607,-5.97,-3.84,4.42,0.45,-0.12
199608,2.77,2.29,-0.43,0.41,-0.06
199609,5.01,-0.87,-3.13,0.44,2.69
199610,0.86,-4.47,5.1,0.42,3.92
199611,6.25,-3.91,1.21,0.41,-2.22
199612,-1.7,3.21,0.86,0.46,0.61
199701,4.98,-1.84,-1.65,0.45,1.95
199702,-0.49,-2.9,5.18,0.39,-2.04
199703,-5.02,-0.38,3.78,0.43,0.96
199704,4.04,-5.64,-0.07,0.43,4.92
199705,6.74,4.92,-3.91,0.49,-5.16
199706,4.1,1.35,1.21,0.37,2.62
199707,7.33,-2.79,0.85,0.43,3.81
199708,-4.15,7.29,1.37,0.41,-2.55
199709,5.35,2.61,0.01,0.44,1.44
199710,-3.8,-0.66,1.94,0.42,-0.39
199711,2.98,-4.96,0.77,0.39,0.3
199712,1.32,-2.32,3.45,0.48,3.97
199801,0.15,-1.16,-1.43,0.43,0.1
199802,7.04,0.01,-0.15,0.39,-1.13
199803,4.76,-0.93,1.03,0.39,2.15
199804,0.73,0.22,0.78,0.43,0.77
199805,-3.07,-3.75,4.15,0.4,1.87
199806,3.18,-3.14,-2.34,0.41,7.28
199807,-2.46,-5.13,-0.98,0.4,3.68
199808,-16.08,-5.3,3.39,0.43,1.9
199809,6.15,-0.14,-3.26,0.46,-0.71
199810,7.13,-3.3,-2.2,0.32,-5.36
199811,6.1,1.06,-3.13,0.31,1.16
199812,6.16,-0.34,-4.45,0.38,9.06
199901,3.5,0.37,-4.03,0.35,3.05
199902,-4.08,-5.64,1.37,0.35,-0.11
199903,3.45,-3.93,-2.65,0.43,-1.29
199904,4.33,3.96,2.54,0.37,-9.08
199905,-2.46,3.46,2.33,0.34,-5.28
199906,4.77,3.04,-3.58,0.4,4.88
199907,-3.47,2.66,-0.8,0.38,1.58
199908,-1.38,-1.35,-1.27,0.39,3
199909,-2.81,3.33,-3.37,0.39,6.45
199910,6.13,-6.87,-2.97,0.39,5.49
199911,3.37,7.4,-6.51,0.36,5.68
199912,7.72,7.15,-8.69,0.44,13.21
200001,-4.74,5.01,-0.45,0.41,1.88
200002,2.45,22.08,-10.49,0.43,18.38
200003,5.2,-17.17,7.86,0.47,-6.8
200004,-6.4,-7.77,8.57,0.46,-8.52
200005,-4.42,-4.94,2.39,0.5,-9.06
200006,4.64,13.95,-10.03,0.4,16.49
200007,-2.51,-2.78,8.15,0.48,-0.12
200008,7.03,-1.11,-0.69,0.5,5.7
200009,-5.45,-1.4,6.23,0.51,2.15
200010,-2.76,-3.77,5.55,0.56,-4.63
200011,-10.72,-2.77,11.29,0.51,-2.44
200012,1.19,0.96,7.3,0.5,6.73
200101,3.13,6.56,-4.88,0.54,-25.01
200102,-10.05,-0.72,12.91,0.38,12.48
200103,-7.26,0.39,6.49,0.42,8.38
200104,7.94,0.5,-4.69,0.39,-8.12
200105,0.72,2.6,3.13,0.32,2.17
200106,-1.94,6.03,-1.09,0.28,0.34
200107,-2.13,-4.35,5.61,0.3,5.5
200108,-6.46,2.5,2.56,0.31,5.54
200109,-9.25,-6.11,1.56,0.28,11.55
200110,2.46,7.56,-8.02,0.22,-8.38
200111,7.54,-0.4,2,0.17,-8.57
200112,1.61,4.56,1.08,0.15,-0.03
200201,-1.44,1.19,3.35,0.14,3.76
200202,-2.29,-1.14,2.51,0.13,6.79
200203,4.24,4.26,1.11,0.13,-1.64
200204,-5.2,5.94,3.92,0.15,7.98
200205,-1.38,-3.22,1.7,0.14,3.04
200206,-7.21,4.26,0.12,0.13,6.14
200207,-8.18,-5.37,-3.52,0.15,3.38
200208,0.5,-2.43,2.53,0.14,1.75
200209,-10.35,2.55,1.26,0.14,9.15
200210,7.84,-2.86,-5.4,0.14,-5.46
200211,5.96,2.95,-0.95,0.12,-16.28
200212,-5.76,0,2.21,0.11,9.62
200301,-2.57,1.44,-0.83,0.1,1.58
200302,-1.88,-0.35,-1.47,0.09,1.25
200303,1.09,1,-1.93,0.1,1.52
200304,8.22,0.61,1.11,0.1,-9.42
200305,6.05,4.84,-0.1,0.09,-10.76
200306,1.42,1.6,0.57,0.1,-1.02
200307,2.35,5.34,-1.02,0.07,-0.29
200308,2.34,2.65,2.1,0.07,-0.54
200309,-1.24,0.81,0.01,0.08,-0.19
200310,6.08,2.81,1.93,0.07,3.75
200311,1.35,2.16,1.96,0.07,1.63
200312,4.29,-3.05,2.35,0.08,-5.69
200401,2.15,2.74,1.96,0.07,2.59
200402,1.4,-1.43,0.48,0.06,-1.1
200403,-1.32,1.77,0.25,0.09,0.2
200404,-1.83,-2.12,-2.62,0.08,-5.36
200405,1.17,-0.19,-0.35,0.06,1.65
200406,1.86,2.23,1.35,0.08,2.07
200407,-4.06,-3.8,4.09,0.1,-2.3
200408,0.08,-1.59,0.96,0.11,-1.5
200409,1.6,3.05,-0.24,0.11,5.26
200410,1.43,0.33,-0.56,0.11,-1.49
200411,4.54,3.9,1.81,0.15,3.22
200412,3.43,0.16,-0.04,0.16,-2.83
200501,-2.76,-1.53,1.95,0.16,3.18
200502,1.89,-0.49,1.65,0.16,3.21
200503,-1.97,-1.42,1.54,0.21,0.54
200504,-2.61,-4,-0.35,0.21,-0.81
200505,3.65,2.87,-0.81,0.24,0.39
200506,0.57,2.59,2.69,0.23,2.06
200507,3.92,2.9,-0.54,0.24,0.04
200508,-1.22,-0.93,1.27,0.3,2.24
200509,0.49,-0.58,0.76,0.29,3.5
200510,-2.02,-1.21,0.25,0.27,-1.31
200511,3.61,0.89,-1.19,0.31,0.35
200512,-0.25,-0.49,0.4,0.32,0.74
200601,3.04,5.43,1.12,0.35,2.76
200602,-0.3,-0.38,-0.25,0.34,-1.82
200603,1.46,3.51,0.51,0.37,1.24
200604,0.73,-1.34,2.61,0.36,0.66
200605,-3.57,-3.03,2.57,0.43,-3.7
200606,-0.35,-0.38,0.86,0.4,1.49
200607,-0.78,-4.07,2.92,0.4,-2.19
200608,2.03,0.92,-1.72,0.42,-3.47
200609,1.84,-1.36,0.03,0.41,-0.93
200610,3.23,1.75,-0.05,0.41,-0.26
200611,1.71,0.86,0.04,0.42,-1.03
200612,0.87,-1.1,3.16,0.4,0.84
200701,1.4,0.1,-0.13,0.44,0.24
200702,-1.96,1.32,-0.1,0.38,-1.33
200703,0.68,-0.06,-0.23,0.43,2.47
200704,3.49,-2.07,-1.15,0.44,-0.16
200705,3.24,-0.01,-0.07,0.41,-0.27
200706,-1.96,0.79,-1.11,0.4,0.3
200707,-3.73,-2.5,-3.34,0.4,2.79
200708,0.92,-0.1,-2.25,0.42,0.09
200709,3.22,-2.28,-1.91,0.32,4.64
200710,1.8,0.22,-2.62,0.32,4.87
200711,-4.83,-2.61,-1.18,0.34,0.9
200712,-0.87,0.19,-0.44,0.27,6.54
200801,-6.36,-0.87,3.69,0.21,-7.81
200802,-3.09,-0.21,-0.88,0.13,6.11
200803,-0.93,0.91,-0.18,0.17,4.08
200804,4.6,-1.65,-0.99,0.18,-0.2
200805,1.86,3.15,-1.49,0.18,3.22
200806,-8.44,1.32,-2.47,0.17,12.45
200807,-0.77,2.44,5.89,0.15,-5.2
200808,1.53,3.61,1.57,0.13,-4.05
200809,-9.24,-1.11,6.26,0.15,0.33
200810,-17.23,-2.25,-2.75,0.08,7.83
200811,-7.86,-3.01,-5.85,0.03,7.22
200812,1.74,3.62,-0.21,0,-5.05
200901,-8.12,0.1,-11.25,0,-1.92
200902,-10.1,0.15,-7.27,0.01,4.17
200903,8.95,-0.1,3.62,0.02,-11.53
200904,10.19,4.74,5.44,0.01,-34.58
200905,5.21,-2.35,-0.14,0,-12.33
200906,0.43,2.6,-2.66,0.01,5.31
200907,7.72,2.05,5.22,0.01,-5.41
200908,3.33,-0.81,7.85,0.01,-8.9
200909,4.08,2.49,0.97,0.01,-5
200910,-2.59,-4.29,-4.26,0,2.64
200911,5.56,-2.48,-0.12,0,0.32
200912,2.75,6.11,0,0.01,2.94
201001,-3.36,0.37,0.3,0,-5.36
201002,3.4,1.19,3.18,0,3.61
201003,6.31,1.49,2.15,0.01,3.68
201004,2,4.99,2.83,0.01,3.21
201005,-7.89,0,-2.41,0.01,-0.19
201006,-5.56,-2.01,-4.52,0.01,-2.98
201007,6.93,0.21,-0.21,0.01,1.94
201008,-4.77,-2.99,-1.96,0.01,-0.15
201009,9.54,3.92,-3.12,0.01,1.36
201010,3.88,1.14,-2.52,0.01,1.25
201011,0.6,3.68,-0.91,0.01,2.51
201012,6.82,0.68,3.78,0.01,-3.19
201101,1.99,-2.48,0.82,0.01,-0.33
201102,3.49,1.53,1.1,0.01,2.07
201103,0.45,2.58,-1.57,0.01,3.55
201104,2.9,-0.31,-2.53,0,0.07
201105,-1.27,-0.72,-2.09,0,-0.59
201106,-1.75,-0.2,-0.33,0,1.75
201107,-2.36,-1.34,-1.16,0,0.03
201108,-5.99,-3.03,-2.4,0.01,-0.3
201109,-7.59,-3.54,-1.37,0,-2.58
201110,11.35,3.44,-0.22,0,-1.45
201111,-0.28,-0.18,-0.42,0,3.98
201112,0.74,-0.67,1.71,0,1.87
201201,5.05,2.15,-1.11,0,-7.95
201202,4.42,-1.72,0.11,0,-0.28
201203,3.11,-0.63,0.89,0,1.49
201204,-0.85,-0.54,-0.46,0,3.84
201205,-6.19,0,-0.52,0.01,6.64
201206,3.89,0.79,0.41,0,-1.13
201207,0.79,-2.6,-0.25,0,3.06
201208,2.55,0.39,1.34,0.01,-2.44
201209,2.73,0.48,1.57,0.01,-1.03
201210,-1.76,-1.09,3.64,0.01,0.12
201211,0.78,0.54,-0.81,0.01,0.35
201212,1.18,1.49,3.52,0.01,-2.92
201301,5.57,0.44,0.95,0,-1.91
201302,1.29,-0.43,0.11,0,1.37
201303,4.03,0.84,-0.26,0,1.95
201304,1.55,-2.43,0.57,0,0.28
201305,2.8,1.69,2.49,0,-1.92
201306,-1.2,1.17,-0.13,0,0.63
201307,5.65,1.88,0.61,0,1.76
201308,-2.71,0.25,-2.77,0,0.05
201309,3.77,2.94,-1.2,0,2.98
201310,4.18,-1.52,1.1,0,0.14
201311,3.12,1.25,0.26,0,0.45
201312,2.81,-0.48,-0.31,0,0.06
201401,-3.32,0.87,-2.13,0,1.65
201402,4.65,0.34,-0.37,0,2.09
201403,0.43,-1.85,5.03,0,-3.25
201404,-0.19,-4.19,1.1,0,-3.9
201405,2.06,-1.85,-0.36,0,1.02
201406,2.61,3.01,-0.66,0,0.7
201407,-2.04,-4.22,-0.02,0,-0.26
201408,4.24,0.4,-0.55,0,0.76
201409,-1.97,-3.8,-1.19,0,0.49
201410,2.52,4.28,-1.68,0,0.03
201411,2.55,-2.05,-2.98,0,1.02
201412,-0.06,2.59,2.12,0,1.04
201501,-3.11,-0.51,-3.47,0,3.76
201502,6.13,0.51,-1.73,0,-2.88
201503,-1.12,3.07,-0.45,0,3.02
201504,0.59,-3.01,1.84,0,-7.41
201505,1.36,0.9,-1.32,0,5.93
201506,-1.53,2.85,-0.8,0,3.05
201507,1.54,-4.07,-4.21,0,10.24
201508,-6.04,0.52,2.71,0,-2.17
201509,-3.08,-2.61,0.58,0,5.25
201510,7.75,-1.93,-0.11,0,-3.91
201511,0.56,3.62,-0.57,0,2.31
201512,-2.17,-2.81,-2.46,0.01,3.39
201601,-5.77,-3.36,2.26,0.01,1.39
201602,-0.07,0.83,-0.48,0.02,-4.12
201603,6.96,0.86,1.11,0.02,-5.06
201604,0.92,0.68,3.25,0.01,-6.15
201605,1.78,-0.27,-1.79,0.01,1.89
201606,-0.05,0.61,-1.49,0.02,4.28
201607,3.95,2.9,-0.98,0.02,-3.17
201608,0.5,0.94,3.18,0.02,-3.16
201609,0.25,2,-1.34,0.02,-0.52
201610,-2.02,-4.41,4.15,0.02,0.58
201611,4.86,5.68,8.44,0.01,-4.16
201612,1.82,-0.04,3.52,0.03,-0.3
201701,1.94,-1,-2.69,0.04,-0.88
201702,3.57,-1.79,-1.8,0.04,-1.71
201703,0.17,1.13,-3.32,0.03,-0.91
201704,1.09,0.55,-2.16,0.05,0.33
201705,1.05,-2.55,-3.71,0.06,1.49
